"total.gains"	"nSimulations.without.reaction"	"n.reactions"	"gains.perSimulation"	"gains.perSimulation.notInSubsys"	"OR"	"p"	"p.adj.BH"
"Cofactor and Prosthetic Group Biosynthesis"	2040	23324	49	0.0874635568513119	0.00626396645473856	13.9629669927666	0	0
"Valine Leucine, and Isoleucine Metabolism"	760	3917	6	0.194026040336993	0.00832277361806947	23.3126658540544	0.00681	0.22473
"Tyrosine Tryptophan, and Phenylalanine Metabolism"	379	2500	6	0.1516	0.00897729085784183	16.8870545023697	0.01281	0.28182
"Folate Metabolism"	652	3354	3	0.194394752534287	0.00850620343870065	22.8532921808395	0.02168	0.35772
"Glycolysis/Gluconeogenesis"	4	210	1	0.019047619047619	0.00960309332956672	1.98348786103888	0.05506	0.726792
"Methionine Metabolism"	189	5273	4	0.0358429736392945	0.00936012983750715	3.82932440698285	0.07346	0.80806
"Urea Cycle"	49	5381	2	0.00910611410518491	0.00961139254716157	0.947429215954156	0.14942	1
"4 hydroxyphenylacetate catabolism"	169	10689	9	0.0158106464589765	0.00948730079636482	1.66650629070753	0.16437	1
"Nitrogen Metabolism"	126	11180	8	0.0112701252236136	0.00957310815433644	1.17726918383435	0.16986	1
"Cysteine Metabolism"	4	596	3	0.00671140939597315	0.00960964250504422	0.698403649506238	0.1937	1
"Benzoate degradation"	1	197	1	0.0050761421319797	0.00960816959249143	0.528315209584413	0.19378	1
"Fatty Acid Metabolism"	11	2745	1	0.00400728597449909	0.00963385327527955	0.415958792395331	0.19743	1
"S_Alternate_Carbon_source"	31	4691	4	0.00660839906203368	0.00963162418868871	0.686114712593803	0.21074	1
"Glycine and Serine Metabolism"	1	225	2	0.00444444444444444	0.00960864460197929	0.462546449426273	0.23492	1
"Threonine and Lysine Metabolism"	1	1353	3	0.00073909830007391	0.00962781983486573	0.0767669433735532	0.44446	1
"Cell Envelope Biosynthesis"	16	7827	11	0.00204420595374984	0.00971252570409995	0.210471098458655	0.54682	1
"Nucleotide Salvage Pathway"	49	12488	29	0.0039237668161435	0.00973466979003866	0.403071383084676	0.56371	1
"Arginine and Proline Metabolism"	6	4072	10	0.00147347740667976	0.00966546848278633	0.152447593130529	0.58472	1
"Transport Outer Membrane Porin"	6	3088	16	0.00194300518134715	0.00964859042203932	0.201377102390929	0.64549	1
"Exchange"	2	4090	6	0.000488997555012225	0.00967288888888889	0.0505534138383342	0.65619	1
"Oxidative Phosphorylation"	10	11618	18	0.000860733344809778	0.0097896830831105	0.0879224932515686	0.81465	1
"S_Transport_Outer_Membrane_Porin"	1	6612	8	0.00015124016938899	0.00971823893081514	0.0155625078232465	0.83316	1
"Alternate Carbon Metabolism"	659	125523	136	0.00525003385833672	0.0108464246928471	0.484033587749791	0.83819	1
"S_Aromatic_Acid_Breakdown"	17	32446	16	0.000523947481970043	0.010158309369758	0.0515782166991165	0.86023	1
"Transport Outer Membrane"	9	11165	26	0.000806090461262875	0.00978349912229374	0.0823928587498955	0.89766	1
"Transport Inner Membrane"	246	85685	128	0.00287098091848048	0.0108067081856084	0.265666553511998	0.95925	1
"Inorganic Ion Transport and Metabolism"	5	41364	34	0.000120878058214873	0.0103536382433467	0.0116749354549402	0.99769	1
