"total.gains"	"nSimulations.without.reaction"	"n.reactions"	"gains.perSimulation"	"gains.perSimulation.notInSubsys"	"OR"	"p"	"p.adj.BH"
"Tyrosine Tryptophan, and Phenylalanine Metabolism"	383	970	6	0.394845360824742	0.0103065179694672	38.31025783824	0.00335	0.14157
"Valine Leucine, and Isoleucine Metabolism"	768	2161	6	0.355391022674688	0.00871433636484021	40.7823393309198	0.00429	0.14157
"Methionine Metabolism"	191	2412	4	0.0791873963515755	0.0111911257836354	7.07590977731391	0.03681	0.660165
"Glycolysis/Gluconeogenesis"	4	61	1	0.0655737704918033	0.0118714462927133	5.52365473211571	0.04001	0.660165
"Alternate Carbon metabolism"	98	2913	4	0.0336422931685548	0.0116137050290343	2.89677523963705	0.07454	0.88176
"Nitrogen Metabolism"	129	4223	8	0.0305470044991712	0.0115456719891396	2.64575370995341	0.08963	0.88176
"Urea Cycle"	47	1251	1	0.0375699440447642	0.0117485862123256	3.1978268164172	0.09352	0.88176
"Folate Metabolism"	3	103	2	0.029126213592233	0.0118777921280515	2.45215720886766	0.11589	0.891293333333333
"4 hydroxyphenylacetate catabolism"	171	7328	9	0.0233351528384279	0.0115188048748526	2.02583107292427	0.12154	0.891293333333333
"Benzoate degradation"	1	53	1	0.0188679245283019	0.0118837450519676	1.5877086260091	0.16709	1
"S_Alternate_Carbon_source"	31	1802	4	0.0172031076581576	0.0118444398949057	1.45242052902449	0.17264	1
"Fatty Acid Metabolism"	9	1319	1	0.00682335102350265	0.0119137307982072	0.572729998610464	0.18902	1
"Cysteine Metabolism"	4	279	3	0.014336917562724	0.0118824132655872	1.20656614462698	0.2087	1
"Glycine and Serine Metabolism"	1	82	2	0.0121951219512195	0.0118852042544543	1.02607592516965	0.22551	1
"Nucleotide Salvage Pathway"	49	4341	29	0.0112877217231053	0.0118964974538305	0.948827313830158	0.33743	1
"Arginine and Proline Metabolism"	8	1128	10	0.00709219858156028	0.0119083060434653	0.595567375886525	0.39602	1
"Threonine and Lysine Metabolism"	1	431	3	0.00232018561484919	0.0119027931492153	0.194927827927695	0.40774	1
"Alternate Carbon Metabolism"	600	50664	133	0.0118427285646613	0.0118969363233725	0.995443553093183	0.45838	1
"Cell Envelope Biosynthesis"	16	3212	11	0.0049813200498132	0.0119804673755396	0.415786788083369	0.48474	1
"Transport Outer Membrane Porin"	6	1501	16	0.00399733510992672	0.0119357463249232	0.334904496217368	0.60691	1
"Exchange"	2	2177	6	0.00091869545245751	0.0119873035402275	0.0766390414136516	0.65731	1
"Oxidative Phosphorylation"	13	4629	18	0.00280838193994383	0.0120667101269703	0.232737996553578	0.71002	1
"S_Transport_Outer_Membrane_Porin"	3	3027	8	0.000991080277502478	0.0120267031398056	0.0824066467743959	0.71822	1
"Transport Inner Membrane"	256	32493	128	0.00787862001046379	0.0125242313449317	0.629070143586267	0.76093	1
"Transport Outer Membrane"	9	3366	26	0.00267379679144385	0.0120184463184652	0.22247441313074	0.79925	1
"Inorganic Ion Transport and Metabolism"	5	19080	34	0.000262054507337526	0.0129064638223024	0.0203041290740454	0.99706	1
