"total.gains"	"nSimulations.without.reaction"	"n.reactions"	"gains.perSimulation"	"gains.perSimulation.notInSubsys"	"OR"	"p"	"p.adj.BH"
"Cofactor and Prosthetic Group Biosynthesis"	2009	23324	49	0.0861344537815126	0.00636152455703099	13.539907456038	0	0
"Valine Leucine, and Isoleucine Metabolism"	760	3917	6	0.194026040336993	0.00836187270403947	23.2036587023457	0.00661	0.21813
"Tyrosine Tryptophan, and Phenylalanine Metabolism"	379	2500	6	0.1516	0.00901629172649755	16.8140078647267	0.01227	0.26994
"Folate Metabolism"	683	3354	3	0.203637447823494	0.00849022434645513	23.9849313179242	0.01871	0.308715
"Glycolysis/Gluconeogenesis"	4	210	1	0.019047619047619	0.00964193650905752	1.9754972488904	0.05635	0.74382
"Methionine Metabolism"	189	5273	4	0.0358429736392945	0.00939932337698662	3.81335679194236	0.07298	0.80278
"Urea Cycle"	50	5381	2	0.00929195316855603	0.00964881176175008	0.963015280844351	0.14971	1
"4 hydroxyphenylacetate catabolism"	179	10689	9	0.0167461876695668	0.00950888737383095	1.76110905631855	0.16275	1
"Nitrogen Metabolism"	129	11180	8	0.0115384615384615	0.00960731711708468	1.2010076692423	0.17339	1
"Cysteine Metabolism"	4	596	3	0.00671140939597315	0.00964851217504072	0.695590084172208	0.19596	1
"Benzoate degradation"	1	197	1	0.0050761421319797	0.00964701188044344	0.526188025358414	0.19677	1
"Fatty Acid Metabolism"	8	2745	1	0.0029143897996357	0.00967819170162013	0.301129579727981	0.19974	1
"S_Alternate_Carbon_source"	31	4691	4	0.00660839906203368	0.00967077713254517	0.683336920235124	0.21373	1
"Glycine and Serine Metabolism"	1	225	2	0.00444444444444444	0.00964748881021956	0.460684073531804	0.23704	1
"Threonine and Lysine Metabolism"	1	1353	3	0.00073909830007391	0.00966674156150429	0.0764578524595309	0.44424	1
"Cell Envelope Biosynthesis"	16	7827	11	0.00204420595374984	0.00975189838983612	0.209621334434781	0.54796	1
"Nucleotide Salvage Pathway"	49	12488	29	0.0039237668161435	0.00977437367127352	0.40143409164674	0.57393	1
"Arginine and Proline Metabolism"	6	4072	10	0.00147347740667976	0.00970457834238193	0.151833222907252	0.58368	1
"Transport Outer Membrane Porin"	6	3088	16	0.00194300518134715	0.00968763198710918	0.200565544183822	0.64798	1
"Exchange"	2	4090	6	0.000488997555012225	0.009712	0.0503498306231698	0.65545	1
"S_Transport_Outer_Membrane_Porin"	2	6612	8	0.000302480338777979	0.0097557404040873	0.0310053697873358	0.77738	1
"Oxidative Phosphorylation"	10	11618	18	0.000860733344809778	0.00982932472268871	0.0875679020780517	0.81374	1
"Alternate Carbon Metabolism"	673	125523	136	0.00536156720282339	0.0108645625267816	0.493491310819637	0.8384	1
"Transport Outer Membrane"	9	11165	26	0.000806090461262875	0.00982310843048116	0.0820606294807427	0.89729	1
"Transport Inner Membrane"	259	85685	128	0.00302269942230262	0.0108254229005729	0.279222294599009	0.95583	1
"Inorganic Ion Transport and Metabolism"	5	41364	34	0.000120878058214873	0.0103955249740112	0.0116278935904697	0.99768	1
