react_id,modelName,numberBiomassReactions,use,reactionName
BIOMASS_Ecoli_core_w_GAM,e_coli_core,1,X,Biomass Objective Function with GAM
BIOMASS_Ec_iAF1260_core_59p81M,iAF1260,1,X,E. coli biomass objective function (iAF1260) - core - with 59.81 GAM estimate
BIOMASS_Ec_iAF1260_core_59p81M,iAF1260b,1,X,E. coli biomass objective function (iAF1260) - core - with 59.81 GAM estimate
BIOMASS_Mb_30,iAF692,1,X,Mb biomass 30
EX_gua(e)_LR,iAF987,2,,Guanine exchange
BIOMASS_Gm_GS15_WT_79p20M,iAF987,2,X,Geobacter metallireducens biomass objective function (iAF987) - WT - with 79.20 GAM estimate
BIOMASS__4,iAM_Pb448,1,X,Biomass
BIOMASS__4,iAM_Pc455,1,X,Biomass
BIOMASS__4,iAM_Pf480,1,X,Biomass
BIOMASS__4,iAM_Pk459,1,X,Biomass
BIOMASS__4,iAM_Pv461,1,X,Biomass
BIOMASS_Ec_iJO1366_WT_53p95M,iAPECO1_1312,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iAPECO1_1312,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iB21_1397,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iB21_1397,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iBWG_1329,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iBWG_1329,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,ic_1306,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,ic_1306,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS__3,iCN718,3,,
DM_biomass_c,iCN718,3,X,Demand biomass c
PROTEIN,iCN718,3,,
DM_biomass_c,iCN900,3,X,Demand biomass c
BIOMASS__5,iCN900,3,,
SOLPOOL,iCN900,3,,
BIOMASS_Ec_iJO1366_WT_53p95M,iE2348C_1286,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iE2348C_1286,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC042_1314,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC042_1314,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC1344_C,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC1344_C,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC1349_Crooks,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC1349_Crooks,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC1356_BI23DE3,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC1356_BI23DE3,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC1364_W,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC1364_W,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC1368_DH5a,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC1368_DH5a,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC1372_W3110,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC1372_W3110,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEC55989_1330,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEC55989_1330,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECABU_c1320,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECABU_c1320,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECB_1328,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECB_1328,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECBD_1354,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECBD_1354,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECD_1391,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECD_1391,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECDH10B_1368,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECDH10B_1368,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEcDH1_1363,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEcDH1_1363,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECDH1ME8569_1439,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECDH1ME8569_1439,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEcE24377_1341,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEcE24377_1341,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECED1_1282,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECED1_1282,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECH74115_1262,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECH74115_1262,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEcHS_1320,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEcHS_1320,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M_iECIAI1_1343,iECIAI1_1343,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M_iECIAI1_1343,iECIAI1_1343,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECIAI39_1322,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECIAI39_1322,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECNA114_1301,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECNA114_1301,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECO103_1326,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECO103_1326,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECO111_1330,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECO111_1330,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECO26_1355,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECO26_1355,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECOK1_1307,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECOK1_1307,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEcolC_1368,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEcolC_1368,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECP_1309,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECP_1309,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECs_1301,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECs_1301,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECS88_1305,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECS88_1305,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECSE_1348,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECSE_1348,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECSF_1327,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECSF_1327,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iEcSMS35_1347,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEcSMS35_1347,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECSP_1301,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECSP_1301,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
