"","X","bigg_id","organism","shortO","sO"
"1",1,"iYO844","Bacillus subtilis subsp. subtilis str. 168","Bacillus subtilis","B. subtilis"
"2",2,"iSM199","Buchnera aphidicola str. APS","Buchnera aphidicola","B. aphidicola"
"3",3,"iRC1080","Chlamydomonas","Chlamydomonas","Chlamydomonas"
"4",4,"iHN637","Clostridium ljungdahlii DSM 13528","Clostridium ljungdahlii","C. ljungdahlii"
"5",5,"iEC042_1314","Escherichia coli 042","Escherichia coli","E. coli"
"6",6,"iECP_1309","Escherichia coli 536","Escherichia coli","E. coli"
"7",7,"iEC55989_1330","Escherichia coli 55989","Escherichia coli","E. coli"
"8",8,"iECABU_c1320","Escherichia coli ABU 83972","Escherichia coli","E. coli"
"9",9,"iAPECO1_1312","Escherichia coli APEC O1","Escherichia coli","E. coli"
"10",10,"iEcolC_1368","Escherichia coli ATCC 8739","Escherichia coli","E. coli"
"11",11,"iECD_1391","Escherichia coli BL21(DE3)","Escherichia coli","E. coli"
"12",12,"iB21_1397","Escherichia coli BL21(DE3)","Escherichia coli","E. coli"
"13",13,"iECBD_1354","Escherichia coli BL21-Gold(DE3)pLysS AG","Escherichia coli","E. coli"
"14",14,"iECB_1328","Escherichia coli B str. REL606","Escherichia coli","E. coli"
"15",15,"iBWG_1329","Escherichia coli BW2952","Escherichia coli","E. coli"
"16",16,"ic_1306","Escherichia coli CFT073","Escherichia coli","E. coli"
"17",17,"iEcDH1_1363","Escherichia coli DH1","Escherichia coli","E. coli"
"18",18,"iECDH1ME8569_1439","Escherichia coli DH1","Escherichia coli","E. coli"
"19",19,"iEcE24377_1341","Escherichia coli E24377A","Escherichia coli","E. coli"
"20",20,"iECED1_1282","Escherichia coli ED1a","Escherichia coli","E. coli"
"21",21,"iETEC_1333","Escherichia coli ETEC H10407","Escherichia coli","E. coli"
"22",22,"iEcHS_1320","Escherichia coli HS","Escherichia coli","E. coli"
"23",23,"iECIAI1_1343","Escherichia coli IAI1","Escherichia coli","E. coli"
"24",24,"iECIAI39_1322","Escherichia coli IAI39","Escherichia coli","E. coli"
"25",25,"iECOK1_1307","Escherichia coli IHE3034","Escherichia coli","E. coli"
"26",26,"iEKO11_1354","Escherichia coli KO11FL","Escherichia coli","E. coli"
"27",27,"iLF82_1304","Escherichia coli LF82","Escherichia coli","E. coli"
"28",28,"iECNA114_1301","Escherichia coli NA114","Escherichia coli","E. coli"
"29",29,"iECO103_1326","Escherichia coli O103:H2 str. 12009","Escherichia coli","E. coli"
"30",30,"iECO111_1330","Escherichia coli O111:H- str. 11128","Escherichia coli","E. coli"
"31",31,"iE2348C_1286","Escherichia coli O127:H6 str. E2348/69","Escherichia coli","E. coli"
"32",32,"iECH74115_1262","Escherichia coli O157:H7 str. EC4115","Escherichia coli","E. coli"
"33",33,"iZ_1308","Escherichia coli O157:H7 str. EDL933","Escherichia coli","E. coli"
"34",34,"iECs_1301","Escherichia coli O157:H7 str. Sakai","Escherichia coli","E. coli"
"35",35,"iECSP_1301","Escherichia coli O157:H7 str. TW14359","Escherichia coli","E. coli"
"36",36,"iECO26_1355","Escherichia coli O26:H11 str. 11368","Escherichia coli","E. coli"
"37",37,"iG2583_1286","Escherichia coli O55:H7 str. CB9615","Escherichia coli","E. coli"
"38",38,"iNRG857_1313","Escherichia coli O83:H1 str. NRG 857C","Escherichia coli","E. coli"
"39",39,"iECS88_1305","Escherichia coli S88","Escherichia coli","E. coli"
"40",40,"iECSE_1348","Escherichia coli SE11","Escherichia coli","E. coli"
"41",41,"iECSF_1327","Escherichia coli SE15","Escherichia coli","E. coli"
"42",42,"iEcSMS35_1347","Escherichia coli SMS-3-5","Escherichia coli","E. coli"
"43",43,"iECDH10B_1368","Escherichia coli str. K-12 substr. DH10B","Escherichia coli","E. coli"
"44",44,"e_coli_core","Escherichia coli str. K-12 substr. MG1655","Escherichia coli","E. coli"
"45",45,"iAF1260","Escherichia coli str. K-12 substr. MG1655","Escherichia coli","E. coli"
