,X,organism,bigg_id,gene_count,metabolite_count,reaction_count,isEco55,taxid,pubMedId,year
1,1,Acinetobacter baumannii AYE,iCN718,709,888,1015,FALSE,509173,29692801,2018
2,2,Bacillus subtilis subsp. subtilis str. 168,iYO844,844,991,1250,FALSE,224308,17573341,2007
3,3,Buchnera aphidicola str. APS,iSM199,199,298,297,FALSE,NA,22513857,2012
4,4,Chlamydomonas,iRC1080,1086,1706,2191,FALSE,3052,21811229,2011
5,5,Clostridioides difficile 630,iCN900,900,885,1229,FALSE,272563,,2020
6,6,Clostridium ljungdahlii DSM 13528,iHN637,637,698,785,FALSE,748727,24274140,2013
7,7,Escherichia coli 042,iEC042_1314,1314,1926,2715,TRUE,216592,24277855,2013
8,8,Escherichia coli 536,iECP_1309,1309,1943,2740,TRUE,362663,24277855,2013
9,9,Escherichia coli 55989,iEC55989_1330,1330,1953,2757,TRUE,585055,24277855,2013
10,10,Escherichia coli ABU 83972,iECABU_c1320,1320,1944,2732,TRUE,655817,24277855,2013
11,11,Escherichia coli APEC O1,iAPECO1_1312,1313,1944,2736,TRUE,405955,24277855,2013
12,12,Escherichia coli ATCC 8739,iEC1349_Crooks,1349,1946,2756,FALSE,481805,27667363,2016
13,14,Escherichia coli ATCC 8739,iEcolC_1368,1368,1971,2769,TRUE,481805,24277855,2013
14,16,Escherichia coli B str. REL606,iECB_1328,1329,1953,2749,TRUE,413997,24277855,2013
15,17,Escherichia coli BL21-Gold(DE3)pLysS AG,iECBD_1354,1354,1954,2749,TRUE,866768,24277855,2013
16,18,Escherichia coli BL21(DE3),iB21_1397,1337,1945,2742,TRUE,469008,24277855,2013
17,21,Escherichia coli BL21(DE3),iEC1356_Bl21DE3,1356,1918,2740,FALSE,469008,27667363,2016
18,24,Escherichia coli BL21(DE3),iECD_1391,1333,1945,2742,TRUE,469008,24277855,2013
19,27,Escherichia coli BW2952,iBWG_1329,1328,1949,2742,TRUE,595496,24277855,2013
20,28,Escherichia coli C,iEC1344_C,1344,1934,2726,FALSE,498388,27667363,2016
21,29,Escherichia coli CFT073,ic_1306,1307,1938,2727,TRUE,199310,24277855,2013
22,30,Escherichia coli DH1,iEcDH1_1363,1363,1949,2751,TRUE,536056,24277855,2013
23,32,Escherichia coli DH1,iECDH1ME8569_1439,1439,1950,2756,TRUE,536056,24277855,2013
24,34,Escherichia coli DH5[alpha],iEC1368_DH5a,1368,1951,2779,FALSE,668369,27667363,2016
25,35,Escherichia coli E24377A,iEcE24377_1341,1341,1974,2764,TRUE,331111,24277855,2013
26,36,Escherichia coli ED1a,iECED1_1282,1279,1929,2707,TRUE,585397,24277855,2013
27,37,Escherichia coli ETEC H10407,iETEC_1333,1333,1964,2757,TRUE,316401,24277855,2013
28,38,Escherichia coli HS,iEcHS_1320,1321,1965,2754,TRUE,331112,24277855,2013
29,39,Escherichia coli IAI1,iECIAI1_1343,1343,1970,2766,TRUE,585034,24277855,2013
30,40,Escherichia coli IAI39,iECIAI39_1322,1321,1957,2722,TRUE,585057,24277855,2013
31,41,Escherichia coli IHE3034,iECOK1_1307,1304,1943,2730,TRUE,714962,24277855,2013
32,42,Escherichia coli KO11FL,iEKO11_1354,1354,1974,2779,TRUE,595495,24277855,2013
